id,year_observed,month_observed,day_observed,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
35467072,2019,11,8,2019-11-08 19:06:08 UTC,1424273,paulswitzer,research,32.248325,-110.9082333,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
35477332,2019,11,8,2019-11-08 18:26:57 UTC,1310523,blancadog,research,32.2484782,-110.9085669,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
35477391,2019,11,8,2019-11-08 18:59:06 UTC,1310523,blancadog,research,32.24836747,-110.9085661,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
35477479,2019,11,8,2019-11-08 19:09:52 UTC,1310523,blancadog,research,32.24838684,-110.9085466,Vanessa cardui,Painted Lady,Insecta,48548,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui
35477611,2019,11,8,2019-11-08 19:10:47 UTC,1310523,blancadog,research,32.24839819,-110.908597,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
35477674,2019,11,8,2019-11-08 20:51:30 UTC,1310523,blancadog,needs_id,32.24837638,-110.9085936,Crambidae,Crambid Snout Moths,Insecta,52002,Lepidoptera,Crambidae,,
35478046,2019,11,8,2019-11-08 19:10:07 UTC,1310523,blancadog,research,32.24832989,-110.9086117,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
35478190,2019,11,8,2019-11-08 22:10:43 UTC,2025917,jewelwing66,research,32.24825333,-110.9083033,Hylephila phyleus,Fiery Skipper,Insecta,50340,Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus
35663521,2019,11,8,2019-11-08 18:44:12 UTC,1424273,paulswitzer,research,32.24809667,-110.9077833,Asterocampa leilia,Empress Leilia,Insecta,148793,Lepidoptera,Nymphalidae,Asterocampa,Asterocampa leilia
36026671,2019,11,8,2019-11-08 19:17:00 UTC,1424273,paulswitzer,research,32.248473,-110.9090323,Papilio rumiko,Western Giant Swallowtail,Insecta,509627,Lepidoptera,Papilionidae,Papilio,Papilio rumiko
36226239,2019,11,30,2019-11-30 19:40:21 UTC,4358,ronsavage,research,32.24828176,-110.9083398,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
36240213,2015,8,6,,518008,ingas,needs_id,32.248523,-110.908785,Penstemonia,,Insecta,62711,Lepidoptera,Sesiidae,Penstemonia,
36274315,2019,12,1,2019-12-01 20:55:00 UTC,442615,roomthily,research,32.24840504,-110.9086884,Libytheana carinenta,American Snout,Insecta,58561,Lepidoptera,Nymphalidae,Libytheana,Libytheana carinenta
