id,observed_on,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
10369682,2018-03-22,2018-03-23 01:56:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Narnia femorata,,Insecta,326212,Hemiptera,Coreidae,Narnia,Narnia femorata
10369683,2018-03-22,2018-03-23 01:58:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Chelinidea vittiger,Cactus coreid,Insecta,216651,Hemiptera,Coreidae,Chelinidea,Chelinidea vittiger
10369684,2018-03-22,2018-03-23 01:27:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Lopidea major,Mountain Laurel Scarlet Mirid,Insecta,322138,Hemiptera,Miridae,Lopidea,Lopidea major
10369685,2018-03-22,2018-03-23 01:16:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Heteranassa mima,,Insecta,363283,Lepidoptera,Erebidae,Heteranassa,Heteranassa mima
10369686,2018-03-22,2018-03-23 01:11:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Lygus,Lygus Bugs,Insecta,61886,Hemiptera,Miridae,Lygus,
10369687,2018-03-22,2018-03-23 01:10:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Platycheirus,Sedgesitters,Insecta,121357,Diptera,Syrphidae,Platycheirus,
10371110,2018-03-22,2018-03-23 06:45:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Oecanthus fultoni,Snowy Tree Cricket,Insecta,130356,Orthoptera,Gryllidae,Oecanthus,Oecanthus fultoni
10371111,2018-03-22,2018-03-23 06:45:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Gryllodes sigillatus,Tropical House Cricket,Insecta,154340,Orthoptera,Gryllidae,Gryllodes,Gryllodes sigillatus
10371112,2018-03-22,2018-03-23 06:45:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Gryllodes sigillatus,Tropical House Cricket,Insecta,154340,Orthoptera,Gryllidae,Gryllodes,Gryllodes sigillatus
11197704,2018-04-19,2018-04-20 02:17:00 UTC,275891,psyllidhipster,research,32.2485230009,-110.9086347963,,false,Oligotoma nigra,Black Webspinner,Insecta,362840,Embiidina,Oligotomidae,Oligotoma,Oligotoma nigra
11197705,2018-04-19,2018-04-20 02:06:00 UTC,275891,psyllidhipster,needs_id,32.2485230009,-110.9086347963,,false,Anthrax,Charcoal Bee Flies,Insecta,130878,Diptera,Bombyliidae,Anthrax,
11197706,2018-04-19,2018-04-20 02:01:00 UTC,275891,psyllidhipster,needs_id,32.2485230009,-110.9086347963,,false,Eccritotarsini,,Insecta,480904,Hemiptera,Miridae,,
11197708,2018-04-19,2018-04-20 00:20:00 UTC,275891,psyllidhipster,research,32.2485230009,-110.9086347963,,false,Papilio rumiko,Western Giant Swallowtail,Insecta,509627,Lepidoptera,Papilionidae,Papilio,Papilio rumiko
11197709,2018-04-19,2018-04-19 23:44:00 UTC,275891,psyllidhipster,research,32.2485230009,-110.9086347963,,false,Asterocampa celtis,Hackberry Emperor,Insecta,68264,Lepidoptera,Nymphalidae,Asterocampa,Asterocampa celtis
11197710,2018-04-19,2018-04-19 23:34:00 UTC,275891,psyllidhipster,research,32.2485230009,-110.9086347963,,false,Lopidea major,Mountain Laurel Scarlet Mirid,Insecta,322138,Hemiptera,Miridae,Lopidea,Lopidea major
11304101,2018-04-20,2018-04-21 01:44:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Miridae,Plant Bugs,Insecta,53505,Hemiptera,Miridae,,
11304102,2018-04-20,2018-04-21 01:41:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Alconeura fulminea,,Insecta,1144346,Hemiptera,Cicadellidae,Alconeura,Alconeura fulminea
11304107,2018-04-20,2018-04-20 22:49:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
11304108,2018-04-20,2018-04-20 22:46:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
11304109,2018-04-20,2018-04-20 22:38:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Papilio rumiko,Western Giant Swallowtail,Insecta,509627,Lepidoptera,Papilionidae,Papilio,Papilio rumiko
17583044,2018-10-16,2018-10-16 16:45:33 UTC,776547,irida73ceae,research,32.248603186,-110.9084425494,,false,Agraulis vanillae,Gulf Fritillary,Insecta,49150,Lepidoptera,Nymphalidae,Agraulis,Agraulis vanillae
